company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Novo Nordisk,BMO Capital,2024-04-12 09:13:39,Outperform,,init,163.0,0.0,NOVO-B.CO,yahoo,1,-0.5125293793057668,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-04-18 13:58:46,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5016300709645211,False,True,0.0
Genmab,HC Wainwright & Co.,2024-04-30 10:20:27,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.2895476616406849,False,True,0.0
Genmab,HC Wainwright & Co.,2024-05-03 19:57:45,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.31028626880155263,False,True,0.0
Genmab,HC Wainwright & Co.,2024-05-20 10:25:16,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.3439490445859873,False,True,0.0
Genmab,HC Wainwright & Co.,2024-06-03 10:32:46,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.28180189403634504,False,True,0.0
Genmab,Truist Securities,2024-06-04 12:53:01,Buy,Buy,main,53.0,50.0,GMAB.CO,yahoo,1,-0.2575483870967742,False,True,0.0
Novo Nordisk,Argus Research,2024-06-10 12:43:14,Buy,Buy,main,160.0,125.0,NOVO-B.CO,yahoo,1,-0.4632460337903287,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-06-17 17:24:23,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.4920230835898095,False,True,0.0
Genmab,HC Wainwright & Co.,2024-06-20 10:40:56,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.23372287145242066,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-06-20 17:01:29,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5113508227995918,False,True,0.0
Novo Nordisk,BMO Capital,2024-06-25 16:40:25,Outperform,Outperform,main,163.0,163.0,NOVO-B.CO,yahoo,1,-0.5678670424234538,False,True,0.0
Genmab,HC Wainwright & Co.,2024-06-27 10:29:38,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.26370536969356195,False,True,0.0
Genmab,BTIG,2024-06-27 11:59:50,Buy,Buy,main,47.0,46.0,GMAB.CO,yahoo,1,-0.26370536969356195,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-07-01 15:15:27,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5546519012726031,False,True,0.0
Genmab,RBC Capital,2024-07-15 10:02:43,Outperform,Sector Perform,up,0.0,0.0,GMAB.CO,yahoo,1,-0.24765063571033719,False,True,0.0
Genmab,HC Wainwright & Co.,2024-07-18 12:31:19,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.23332433162300836,False,True,0.0
Genmab,HC Wainwright & Co.,2024-08-01 10:05:53,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.29486527707168275,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-08-05 18:03:28,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.6321277930934723,False,True,0.0
